screen_name,user_name,status_id,url,title,published_date,geoLocation
"MargeryAPW","Margery AP W 🇺🇸🇨🇦💙🌊","1053137460048220160","Not Available","@BrianKempGA What an idiot!  People all over the US are encouraging all voters toget out to vote. 🔷🔹💙🔵🔵🌊🌊🔵🔹🔷@staceyabrams","Fri Oct 19 00:15:11 EDT 2018",
"Kittym2611","Kitty1991","1053137482848657408","Not Available","@notlarrysabato @CharlesMBlow @TheRevAl @SamuelLJackson @repjohnlewis @staceyabrams @AndrewGillum
Smear campaign is taken to a different level. This is emotional lynching.

We need to hear your voices loud and clear. We need our leaders stand up and denounce this tactic.","Fri Oct 19 00:15:16 EDT 2018",
"bklyn_sound","Will","1053137483012235264","Not Available","We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be more clear.

We only have 18 days to finish what we started. Donate to support voter outreach and let's get it done for Georgia: https://t.co/4I5jqEdWgJ #gapol https://t.co/tyxx9Et0cy","Fri Oct 19 00:15:16 EDT 2018",
"MySk8mom68","Francesca Castle","1053137484815708160","Not Available","We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be more clear.

We only have 18 days to finish what we started. Donate to support voter outreach and let's get it done for Georgia: https://t.co/4I5jqEdWgJ #gapol https://t.co/tyxx9Et0cy","Fri Oct 19 00:15:17 EDT 2018",
"GrooverAndrew69","Samuel Adams","1053137485293871105","Not Available","Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, welfare and voting rights for illegal immigrants. RT if you agree that hardworking Georgians can't afford Abrams' extreme agenda! #gapol #tcot #gagop https://t.co/pDBmznPcKy","Fri Oct 19 00:15:17 EDT 2018",
"sogeshirts","Tim@Sogeshirts","1053137492717690880","Not Available","I knew a man who died in jail after stealing a Little Debbie snack from a convenience store

@BrianKempGA literally stole $500,000 from a man, who used to be his friend, and refuses to give it back no matter what.

He's running for Governor in Georgia. 

https://t.co/UaBZ8FElm6","Fri Oct 19 00:15:19 EDT 2018",
"mmbodyfit","Meredith McClain","1053137507112517632","Not Available","If you saw that terribly racist video from #BrianKemp and it made you mad...

Go spend that anger on something useful: the campaign of @staceyabrams ❤️✊🏾 https://t.co/Le47kfVfnF","Fri Oct 19 00:15:22 EDT 2018",
"Pamkmar60","Pam for Trump","1053137536854450176","Not Available","Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, welfare and voting rights for illegal immigrants. RT if you agree that hardworking Georgians can't afford Abrams' extreme agenda! #gapol #tcot #gagop https://t.co/pDBmznPcKy","Fri Oct 19 00:15:29 EDT 2018",
"Sharkaycat48","Sharon","1053137552583073792","Not Available","Georgia- If you are an independent voter and you see how many black people are being turned  away from the polls, it would be great to cast your vote in honor of those still being oppressed by racist republicans. If you believe in fairness and equality, vote for @staceyabrams","Fri Oct 19 00:15:33 EDT 2018",
"verse1verse2","verse1verse2","1053137578386489344","Not Available","@staceyabrams was ready for this foolishness. Bravo to our elders!","Fri Oct 19 00:15:39 EDT 2018",
